City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Beloha,MG,2020-04-14 22:07:37,-25.17,45.05,77.31,67,0,7.11
70,Luanda,AO,2020-04-14 22:05:56,-8.84,13.23,80.6,83,40,11.41
71,Bilibino,RU,2020-04-14 22:03:24,68.05,166.44,9.57,85,57,1.39
72,Sibolga,ID,2020-04-14 22:07:02,1.74,98.78,78.67,78,100,2.98
73,Craigieburn,AU,2020-04-14 22:08:34,-37.6,144.95,64.0,67,72,9.17
74,Georgetown,MY,2020-04-14 22:03:05,5.41,100.34,80.6,94,20,1.99
75,Mahebourg,MU,2020-04-14 22:03:34,-20.41,57.7,78.01,83,75,14.99
76,Canatlan,MX,2020-04-14 22:08:35,24.52,-104.78,82.4,2,5,5.82
77,Ofunato,JP,2020-04-14 22:08:35,39.07,141.72,43.83,73,14,7.38
78,Luba,GQ,2020-04-14 22:08:35,3.46,8.55,80.6,100,20,3.36
79,Hofn,IS,2020-04-14 22:06:22,64.25,-15.21,38.41,73,100,16.31
80,Ancud,CL,2020-04-14 22:04:48,-41.87,-73.82,51.8,100,40,6.93
81,Hilo,US,2020-04-14 22:04:51,19.73,-155.09,78.8,74,40,8.05
82,Victoria,HK,2020-04-14 22:05:24,22.29,114.16,68.0,72,20,4.7
83,Macau,MO,2020-04-14 22:07:46,22.2,113.55,66.99,82,80,2.24
84,Jilib,SO,2020-04-14 22:08:37,0.49,42.79,81.82,75,76,5.86
85,Mbalmayo,CM,2020-04-14 22:08:38,3.52,11.5,73.4,94,20,2.1
86,Shache,CN,2020-04-14 22:08:38,38.42,77.24,63.16,18,89,17.87
87,Biloela,AU,2020-04-14 22:08:39,-24.42,150.5,63.55,82,0,10.36
88,Port Elizabeth,ZA,2020-04-14 22:05:18,-33.92,25.57,62.6,93,18,4.7
89,Nuevitas,CU,2020-04-14 22:08:39,21.55,-77.26,84.29,62,0,16.42
90,Jiayuguan,CN,2020-04-14 22:08:40,39.82,98.3,54.27,21,43,6.49
91,New Norfolk,AU,2020-04-14 22:04:55,-42.78,147.06,59.0,87,75,4.7
92,Lodwar,KE,2020-04-14 22:08:40,3.12,35.6,88.5,40,53,10.02
93,Umm Lajj,SA,2020-04-14 22:01:45,25.02,37.27,69.51,57,0,5.32
94,Arman,RU,2020-04-14 22:07:28,59.7,150.17,24.12,95,98,2.84
95,Olafsvik,IS,2020-04-14 22:08:41,64.89,-23.71,38.28,75,100,23.67
96,Mpulungu,ZM,2020-04-14 22:08:41,-8.76,31.11,74.39,62,100,4.65
97,Cidreira,BR,2020-04-14 22:05:14,-30.18,-50.21,66.11,64,10,22.12
98,Mehamn,NO,2020-04-14 22:04:12,71.04,27.85,35.6,80,75,5.82
99,Edd,ER,2020-04-14 22:08:42,13.93,41.69,81.46,66,96,5.44
100,Katangli,RU,2020-04-14 22:06:40,51.71,143.23,27.27,97,100,11.99
101,General Pico,AR,2020-04-14 22:08:43,-35.66,-63.76,66.69,34,77,3.53
102,Stavern,NO,2020-04-14 22:08:43,59.0,10.03,46.99,56,100,11.41
103,Cabo San Lucas,MX,2020-04-14 22:05:14,22.89,-109.91,84.99,38,5,6.93
104,Sibu,MY,2020-04-14 22:08:44,2.3,111.82,78.8,94,75,1.72
105,Tazmalt,DZ,2020-04-14 22:08:44,36.39,4.4,57.2,87,20,4.7
106,Hervey Bay,AU,2020-04-14 22:02:57,-25.3,152.85,68.0,88,75,6.93
107,Saint George,US,2020-04-14 22:04:08,37.1,-113.58,59.0,13,1,3.36
108,Cape Town,ZA,2020-04-14 22:02:52,-33.93,18.42,62.01,82,0,9.17
109,Haines Junction,CA,2020-04-14 22:06:39,60.75,-137.51,38.39,66,33,3.87
110,Ivdel,RU,2020-04-14 22:08:45,60.69,60.42,37.99,93,100,5.37
111,Fare,PF,2020-04-14 22:08:45,-16.7,-151.02,83.64,67,11,5.84
112,Saint-Prosper,CA,2020-04-14 22:05:56,46.21,-70.48,39.99,45,84,8.99
113,Calabazar De Sagua,CU,2020-04-14 22:08:46,22.64,-79.9,93.2,49,40,13.87
114,Narsaq,GL,2020-04-14 22:05:39,60.92,-46.05,32.0,88,40,2.24
115,Bethel,US,2020-04-14 22:05:27,41.37,-73.41,57.0,34,1,6.53
116,Fortuna,US,2020-04-14 22:00:21,40.6,-124.16,68.0,62,20,17.22
117,Saint-Augustin,CA,2020-04-14 22:08:47,51.23,-58.65,40.03,70,51,18.37
118,Ilulissat,GL,2020-04-14 22:06:13,69.22,-51.1,27.09,93,100,2.42
119,Guerrero Negro,MX,2020-04-14 22:05:15,27.98,-114.06,68.32,57,35,14.32
120,Bredasdorp,ZA,2020-04-14 22:02:55,-34.53,20.04,53.01,93,0,3.36
121,Carnarvon,AU,2020-04-14 22:03:47,-24.87,113.63,73.4,69,35,19.46
122,Grindavik,IS,2020-04-14 22:03:18,63.84,-22.43,39.2,69,75,19.46
123,Tautira,PF,2020-04-14 22:08:49,-17.73,-149.15,89.6,62,17,5.82
124,Dabakala,CI,2020-04-14 22:08:50,8.37,-4.43,85.37,53,23,4.23
125,Ponta Do Sol,PT,2020-04-14 22:05:04,32.67,-17.1,62.6,42,20,8.05
126,Pevek,RU,2020-04-14 22:06:20,69.7,170.31,8.8,91,55,0.96
127,Hobart,AU,2020-04-14 22:02:24,-42.88,147.33,59.0,87,75,4.7
128,Catamarca,AR,2020-04-14 22:04:30,-28.47,-65.79,73.0,63,46,5.01
129,Chernyshevskiy,RU,2020-04-14 22:08:36,63.01,112.47,28.18,95,95,2.24
130,Saint-Francois,FR,2020-04-14 22:08:52,46.42,3.91,44.6,48,0,6.93
131,San Cristobal,VE,2020-04-14 22:05:13,7.77,-72.22,87.8,52,40,16.11
132,Ratnagiri,IN,2020-04-14 22:08:52,16.98,73.3,78.96,78,0,4.74
133,Puerto Madero,MX,2020-04-14 22:08:53,14.72,-92.42,91.4,52,40,10.74
134,Tura,IN,2020-04-14 22:06:10,25.52,90.22,74.39,51,0,4.45
135,Levelland,US,2020-04-14 22:08:54,33.59,-102.38,48.2,45,75,5.82
136,Nioro,GM,2020-04-14 22:07:21,13.35,-15.75,86.72,22,85,10.65
137,Yankton,US,2020-04-14 22:08:54,42.87,-97.4,35.6,40,20,8.05
138,Gorontalo,ID,2020-04-14 22:08:55,0.54,123.06,75.88,89,89,2.68
139,Lorengau,PG,2020-04-14 22:07:05,-2.02,147.27,81.45,75,97,3.02
140,Sioux Lookout,CA,2020-04-14 22:08:55,50.1,-91.92,23.0,41,75,11.41
141,Filingue,NE,2020-04-14 22:08:55,14.35,3.32,88.29,11,35,5.99
142,Sao Gabriel Da Cachoeira,BR,2020-04-14 22:08:56,-0.13,-67.09,75.79,88,99,3.42
143,Rassvet,RU,2020-04-14 22:08:56,46.83,40.75,49.37,48,100,9.93
144,Petropavlovsk-Kamchatskiy,RU,2020-04-14 22:04:32,53.05,158.65,30.2,74,94,6.71
145,Turbat,PK,2020-04-14 22:08:56,26.0,63.04,83.97,38,4,3.11
146,Iqaluit,CA,2020-04-14 22:05:25,63.75,-68.51,19.4,57,75,10.29
147,Caravelas,BR,2020-04-14 22:06:37,-17.71,-39.25,77.61,85,15,5.7
148,Upernavik,GL,2020-04-14 22:04:39,72.79,-56.15,23.95,95,100,2.82
149,Mar Del Plata,AR,2020-04-14 22:02:19,-38.0,-57.56,62.01,72,20,14.99
150,Gwadar,PK,2020-04-14 22:05:36,25.12,62.33,81.07,65,0,9.31
151,Avarua,CK,2020-04-14 22:03:46,-21.21,-159.78,80.6,61,68,6.93
152,Castlemaine,AU,2020-04-14 22:08:59,-37.07,144.22,55.0,83,63,4.65
153,Khandbari,NP,2020-04-14 22:08:59,27.37,87.2,69.87,31,96,5.5
154,Pisco,PE,2020-04-14 22:04:12,-13.7,-76.22,72.0,30,30,9.17
155,Kaitangata,NZ,2020-04-14 22:02:57,-46.28,169.85,48.99,79,66,4.0
156,Cap Malheureux,MU,2020-04-14 22:09:00,-19.98,57.61,78.01,83,75,14.99
157,Bambous Virieux,MU,2020-04-14 22:05:42,-20.34,57.76,78.01,83,75,14.99
158,Mwandiga,TZ,2020-04-14 22:09:01,-4.83,29.66,71.6,88,75,0.74
159,Longyearbyen,SJ,2020-04-14 22:05:38,78.22,15.64,30.2,68,75,24.16
160,Hay River,CA,2020-04-14 22:06:36,60.82,-115.8,30.2,74,90,6.93
161,Port Alfred,ZA,2020-04-14 22:03:35,-33.59,26.89,62.01,96,85,4.0
162,Tawang,IN,2020-04-14 22:09:02,27.58,91.87,42.53,25,13,3.24
163,Manakara,MG,2020-04-14 22:09:03,-22.13,48.02,72.84,91,1,3.27
164,Iwaki,JP,2020-04-14 22:04:41,37.05,140.88,46.99,48,0,9.17
165,Hithadhoo,MV,2020-04-14 22:00:32,-0.6,73.08,84.9,65,66,2.93
166,Norman Wells,CA,2020-04-14 22:07:04,65.28,-126.83,35.6,64,75,18.34
167,Luau,AO,2020-04-14 22:09:04,-10.71,22.22,67.15,67,47,1.72
168,Ler,SS,2020-04-14 22:09:04,8.3,30.14,85.35,15,68,3.09
169,Smolenka,RU,2020-04-14 22:09:04,52.14,113.5,39.2,32,40,11.18
170,Labuhan,ID,2020-04-14 22:05:09,-6.88,112.21,78.06,83,50,2.39
171,Tiksi,RU,2020-04-14 22:04:55,71.69,128.87,9.52,95,100,9.91
172,Kavieng,PG,2020-04-14 22:03:41,-2.57,150.8,81.73,77,86,5.57
173,Tuatapere,NZ,2020-04-14 22:09:05,-46.13,167.68,44.01,94,100,4.0
174,Necochea,AR,2020-04-14 22:06:38,-38.55,-58.74,57.99,66,0,14.0
175,Lichinga,MZ,2020-04-14 22:09:06,-13.31,35.24,66.2,93,40,9.17
176,Carutapera,BR,2020-04-14 22:09:06,-1.2,-46.02,74.77,96,100,4.38
177,Ordynskoye,RU,2020-04-14 22:09:06,54.37,81.9,35.92,91,73,6.87
